Date,Open,High,Low,Close,Adj Close,Volume
1994-06-01,19.0625,19.0625,18.875,18.90625,15.57283878326416,546400
1994-06-02,18.875,18.875,18.6875,18.6875,15.39267349243164,526400
1994-06-03,18.71875,18.96875,18.6875,18.9375,15.598580360412598,658800
1994-06-06,18.9375,18.96875,18.875,18.9375,15.598580360412598,401600
1994-06-07,18.9375,18.96875,18.875,18.9375,15.598580360412598,633600
1994-06-08,18.90625,19.375,18.90625,19.25,15.855982780456543,724800
1994-06-09,19.21875,19.28125,19.0,19.03125,15.675801277160645,362400
1994-06-10,18.96875,19.0,18.875,18.875,15.547107696533203,391200
1994-06-13,18.875,19.0625,18.875,19.03125,15.675801277160645,574000
1994-06-14,19.03125,19.3125,19.03125,19.3125,15.907459259033203,979600
1994-06-15,19.28125,19.75,19.1875,19.21875,15.830245018005371,982000
1994-06-16,19.15625,20.1875,19.0625,20.1875,16.62819480895996,958000
1994-06-17,20.125,20.15625,19.5625,19.59375,16.139127731323242,2042400
1994-06-20,19.59375,19.84375,19.5,19.65625,16.19060707092285,718000
1994-06-21,19.4375,19.46875,18.71875,18.71875,15.418407440185547,2467200
1994-06-22,18.71875,19.125,18.71875,18.9375,15.598580360412598,920400
1994-06-23,19.0,19.09375,18.75,19.0,15.650064468383789,489200
1994-06-24,18.96875,18.96875,18.625,18.75,15.44414234161377,1290400
1994-06-27,18.625,18.875,18.59375,18.71875,15.418407440185547,541600
1994-06-28,18.59375,18.65625,18.40625,18.5,15.2382230758667,574800
1994-06-29,18.5,18.65625,18.4375,18.59375,15.31544303894043,898000
1994-06-30,18.625,18.75,18.5,18.6875,15.39267349243164,458000
1994-07-01,19.0,19.125,18.6875,18.6875,15.39267349243164,1156400
1994-07-05,18.75,18.8125,18.53125,18.625,15.341180801391602,1154000
1994-07-06,18.625,18.625,18.15625,18.1875,14.980822563171387,1604000
1994-07-07,18.25,18.5,18.21875,18.3125,15.083767890930176,1128400
1994-07-08,18.25,18.25,17.8125,17.84375,14.697672843933105,1653600
1994-07-11,17.78125,17.78125,17.4375,17.4375,14.363053321838379,1577200
1994-07-12,17.4375,17.4375,17.21875,17.21875,14.182870864868164,871600
1994-07-13,17.25,17.375,17.15625,17.15625,14.131389617919922,673200
1994-07-14,17.21875,17.5625,17.21875,17.46875,14.388788223266602,707600
1994-07-15,17.5,17.53125,17.40625,17.53125,14.440272331237793,606400
1994-07-18,17.5625,17.59375,17.40625,17.5,14.414527893066406,888800
1994-07-19,17.625,17.65625,17.5,17.625,14.517491340637207,520800
1994-07-20,17.625,17.78125,17.3125,17.3125,14.260090827941895,294800
1994-07-21,17.34375,17.34375,17.25,17.25,14.20860481262207,276400
1994-07-22,17.3125,17.6875,17.25,17.6875,14.568976402282715,282000
1994-07-25,17.59375,17.59375,17.3125,17.34375,14.285831451416016,424800
1994-07-26,17.34375,17.34375,17.0625,17.0625,14.054167747497559,252800
1994-07-27,17.03125,17.03125,16.84375,16.84375,13.873984336853027,358000
1994-07-28,16.875,16.9375,16.78125,16.84375,13.873984336853027,745200
1994-07-29,16.84375,16.90625,16.625,16.625,13.693801879882812,904800
1994-08-01,16.5625,16.59375,15.875,16.0,13.178999900817871,2093600
1994-08-02,16.25,16.5625,15.8125,16.40625,13.513623237609863,2334000
1994-08-03,16.5625,17.0625,16.5625,16.96875,13.976943016052246,1358400
1994-08-04,16.9375,17.09375,16.71875,16.875,13.899724006652832,889200
1994-08-05,16.8125,16.875,16.6875,16.78125,13.822510719299316,1164000
1994-08-08,16.78125,16.78125,16.53125,16.53125,13.616584777832031,365600
1994-08-09,16.5625,16.5625,16.4375,16.46875,13.56510066986084,688800
1994-08-10,16.53125,16.53125,16.34375,16.4375,13.539363861083984,394400
1994-08-11,16.40625,16.40625,16.0625,16.09375,13.256220817565918,855600
1994-08-12,16.21875,16.625,16.21875,16.5625,13.642325401306152,508800
1994-08-15,16.53125,16.84375,16.53125,16.78125,13.822510719299316,622400
1994-08-16,16.96875,17.3125,16.96875,17.1875,14.15712833404541,1621200
1994-08-17,17.28125,17.375,17.28125,17.3125,14.260090827941895,1482000
1994-08-18,17.3125,17.34375,17.21875,17.25,14.20860481262207,505200
1994-08-19,17.3125,17.3125,17.21875,17.28125,14.234345436096191,430800
1994-08-22,17.25,17.25,17.21875,17.21875,14.182870864868164,426800
1994-08-23,17.25,17.3125,17.21875,17.3125,14.260090827941895,598400
1994-08-24,17.3125,17.8125,17.28125,17.625,14.517491340637207,408000
1994-08-25,17.625,17.65625,17.4375,17.4375,14.363053321838379,1040400
1994-08-26,17.46875,17.46875,17.34375,17.46875,14.388788223266602,710000
1994-08-29,17.5,17.5625,17.4375,17.4375,14.363053321838379,928000
1994-08-30,17.5,17.53125,17.40625,17.5,14.414527893066406,403200
1994-08-31,17.5625,17.875,17.5625,17.71875,14.594715118408203,929600
1994-09-01,17.71875,17.75,17.625,17.65625,14.543231010437012,540000
1994-09-02,17.71875,17.75,17.625,17.625,14.517491340637207,730000
1994-09-06,17.65625,17.6875,17.625,17.6875,14.568976402282715,564000
1994-09-07,17.65625,17.71875,17.625,17.65625,14.543231010437012,662400
1994-09-08,17.6875,17.6875,17.59375,17.65625,14.543231010437012,628800
1994-09-09,17.59375,17.59375,17.3125,17.3125,14.260090827941895,545600
1994-09-12,17.3125,17.3125,17.0625,17.0625,14.054167747497559,250400
1994-09-13,17.125,17.375,17.03125,17.25,14.20860481262207,606800
1994-09-14,17.28125,17.5625,17.21875,17.5625,14.466014862060547,954400
1994-09-15,17.78125,18.03125,16.5,16.9375,13.951210021972656,5908800
